"OIL_VISC FILE"
"Oil_lab_num","Viscsty_temp (C)","Viscsty_abslt (mPa-S)","Viscsty_kinmtc (mm2/S)"
"0879-52137-2020-3","","",""
"0879-52137-2020-3","","",""
"0880-52137-2020-2","15","1.14","1.501"
"0880-52137-2020-2","20","1.052","1.394"
"0880-52137-2020-2","25",".969","1.29"
"0880-52137-2020-2","","",""
"0880-52137-2020-2","","",""
"0880-52137-2020-2","","",""
"0881-52137-2020-2","15","1.255","1.646"
"0881-52137-2020-2","20","1.157","1.525"
"0881-52137-2020-2","25","1.061","1.406"
"0881-52137-2020-2","","",""
"0881-52137-2020-2","","",""
"0881-52137-2020-2","","",""
"0882-52137-2020-2","15","1.052","1.401"
"0882-52137-2020-2","20",".976","1.307"
"0882-52137-2020-2","25",".902","1.214"
"0882-52137-2020-2","","",""
"0882-52137-2020-2","","",""
"0882-52137-2020-2","","",""
"08OF261704A","25","2.36","2.92"
"08OF261704A","38","1.86","2.33"
"08OF261704A","50","1.5","1.89"
"08OF264125A","25","2.72","3.39"
"08OF264125A","38","2.34","2.95"
"08OF264125A","50","2.04","2.59"
"08OF265312A","25","2.94","3.63"
"08OF265312A","38","2.19","2.73"
"08OF265312A","50","1.72","2.17"
"08OF286514A","25","2.24","2.82"
"08OF286514A","38","1.72","2.19"
"08OF286514A","50","1.41","1.81"
"08OG282223B","25","2.13","2.66"
"08OG282223B","38","1.67","2.11"
"08OG282223B","50","1.38","1.76"
"0907-52137-2020-3","15","1.841","2.365"
"0907-52137-2020-3","20","1.617","2.087"
"0907-52137-2020-3","25","1.456","1.888"
"0907-52137-2020-3","","",""
"0907-52137-2020-3","","",""
"0907-52137-2020-3","","",""
"0913-52137-2020-3","10","1.055","1.396"
"0913-52137-2020-3","15",".978","1.301"
"0913-52137-2020-3","25",".847","1.138"
"0913-52137-2020-3","","",""
"0913-52137-2020-3","","",""
"0913-52137-2020-3","","",""
"0918-52137-2020-3","15","1.299","1.698"
"0918-52137-2020-3","20","1.197","1.573"
"0918-52137-2020-3","30","1.027","1.364"
"0918-52137-2020-3","","",""
"0918-52137-2020-3","","",""
"0918-52137-2020-3","","",""
"0919-52137-2020-3","15","1.821","2.342"
"0919-52137-2020-3","25","1.473","1.913"
"0919-52137-2020-3","30","1.34","1.749"
"0919-52137-2020-3","","",""
"0919-52137-2020-3","","",""
"0919-52137-2020-3","","",""
"0920-52137-2020-3","15","1.758","2.254"
"0920-52137-2020-3","20","1.58","2.034"
"0920-52137-2020-3","30","1.326","1.725"
"0920-52137-2020-3","","",""
"0920-52137-2020-3","","",""
"0920-52137-2020-3","","",""
"0921-52134-2020-4","10","1.027","1.366"
"0921-52134-2020-4","15",".95","1.269"
"0921-52134-2020-4","35",".709",".968"
"0921-52134-2020-4","","",""
"0921-52134-2020-4","","",""
"0921-52134-2020-4","","",""
"0937-52137-2020-2","10",".989","1.313"
"0937-52137-2020-2","15",".917","1.223"
"0937-52137-2020-2","25",".789","1.065"
"0937-52137-2020-2","","",""
"0937-52137-2020-2","","",""
"0937-52137-2020-2","","",""
"0938-52137-2020-2","15",".855","1.156"
"0938-52137-2020-2","20",".797","1.083"
"0938-52137-2020-2","30",".687",".945"
"0938-52137-2020-2","","",""
"0938-52137-2020-2","","",""
"0938-52137-2020-2","","",""
"0974-52137-2020-2","15","1.024","1.368"
"0974-52137-2020-2","20",".934","1.254"
"0974-52137-2020-2","30",".783","1.062"
"0974-52137-2020-2","","",""
"0974-52137-2020-2","","",""
"0974-52137-2020-2","","",""
"0977-52137-2020-2","15",".73",".996"
"0977-52137-2020-2","25",".636",".877"
"0977-52137-2020-2","30",".596",".827"
"0977-52137-2020-2","","",""
"0977-52137-2020-2","","",""
"0977-52137-2020-2","","",""
"09OG311388B","25",".62",".85"
"09OG311388B","38",".52",".72"
"09OG311388B","50",".44",".61"
"09OG317595A","25",".96","1.21"
"09OG317595A","38",".81","1.03"
"09OG317595A","50",".69",".9"
"1021-52136-14-11","","",""
"1021-52136-14-11","","",""
"1021-52136-14-11","","",""
"1021-52136-14-11","","",""
"1021-52136-14-11","","",""
"1021-52136-14-11","","",""
"1021-52136-14-5","","",""
"1021-52136-14-5","","",""
"1021-52136-14-5","","",""
"1021-52136-14-5","","",""
"1021-52136-14-5","","",""
"1021-52136-14-5","","",""
"1021-52137-2020-2","15","1.059","1.411"
"1021-52137-2020-2","20",".938","1.256"
"1021-52137-2020-2","30",".763","1.034"
"1021-52137-2020-2","","",""
"1021-52137-2020-2","","",""
"1021-52137-2020-2","","",""
"1022-52134-2021-2","20","1.487","1.936"
"1022-52134-2021-2","30","1.221","1.607"
"1022-52134-2021-2","40","1.038","1.38"
"1022-52134-2021-2","","",""
"1022-52134-2021-2","","",""
"1022-52134-2021-2","","",""
"1022-52137-2020-2","10","1.248","1.642"
"1022-52137-2020-2","15","1.15","1.521"
"1022-52137-2020-2","20","1.06","1.41"
"1022-52137-2020-2","","",""
"1022-52137-2020-2","","",""
"1022-52137-2020-2","","",""
"1023-52134-2021-2","20","1.245","1.64"
"1023-52134-2021-2","30","1.041","1.386"
"1023-52134-2021-2","40",".912","1.227"
"1023-52134-2021-2","","",""
"1023-52134-2021-2","","",""
"1023-52134-2021-2","","",""
"1023-52137-2020-2","10","1.296","1.706"
"1023-52137-2020-2","15","1.146","1.517"
"1023-52137-2020-2","20","1.014","1.349"
"1023-52137-2020-2","","",""
"1023-52137-2020-2","","",""
"1023-52137-2020-2","","",""
"1024-52134-2021-2","20","1.87","2.399"
"1024-52134-2021-2","30","1.462","1.895"
"1024-52134-2021-2","40","1.233","1.615"
"1024-52134-2021-2","","",""
"1024-52134-2021-2","","",""
"1024-52134-2021-2","","",""
"1024-52137-2020-2","10","1.126","1.493"
"1024-52137-2020-2","20",".865","1.159"
"1024-52137-2020-2","25",".78","1.052"
"1024-52137-2020-2","","",""
"1024-52137-2020-2","","",""
"1024-52137-2020-2","","",""
"1025-52134-2021-2","20","1.599","2.061"
"1025-52134-2021-2","30","1.31","1.706"
"1025-52134-2021-2","40","1.109","1.459"
"1025-52134-2021-2","","",""
"1025-52134-2021-2","","",""
"1025-52134-2021-2","","",""
"1025-52137-2020-2","10","1.085","1.438"
"1025-52137-2020-2","20",".869","1.164"
"1025-52137-2020-2","25",".792","1.067"
"1025-52137-2020-2","","",""
"1025-52137-2020-2","","",""
"1025-52137-2020-2","","",""
"1082-52136-15-1","20","3.499","4.357"
"1082-52136-15-1","30","2.642","3.318"
"1082-52136-15-1","40","2.086","2.644"
"1082-52136-15-1","","",""
"1082-52136-15-1","","",""
"1082-52136-15-1","","",""
"10OF436622B","25","5.706","6.783"
"10OF436622B","38","4.094","4.915"
"10OF436622B","50","3.14","3.805"
"10OF436622B","","",""
"10OF436622B","","",""
"10OF436622B","","",""
"10OG378447A","15","2.32","2.89"
"10OG378447A","25","1.86","2.34"
"10OG378447A","38","1.45","1.83"
"10OG378447B","15","2.36","2.93"
"10OG378447B","25","1.89","2.37"
"10OG378447B","38","1.48","1.87"
"10OG459972A","15",".49",".68"
"10OG459972A","25",".44",".61"
"10OG459972A","35",".39",".55"
"10OG460308A","15",".59",".8"
"10OG460308A","25",".51",".7"
"10OG460308A","35",".44",".61"
"1100243","10","5.69","6.79"
"1100243","20","4.01","4.83"
"1100243","40","2.34","2.87"
"1133-52137-2020-2","15","1.354","1.777"
"1133-52137-2020-2","25","1.083","1.436"
"1133-52137-2020-2","30",".986","1.313"
"1133-52137-2020-2","","",""
"1133-52137-2020-2","","",""
"1133-52137-2020-2","","",""
"1134-52137-2020-2","15","1.004","1.344"
"1134-52137-2020-2","20",".91","1.225"
"1134-52137-2020-2","25",".809","1.094"
"1134-52137-2020-2","","",""
"1134-52137-2020-2","","",""
"1134-52137-2020-2","","",""
"1135-52137-2020-2","15","1.079","1.435"
"1135-52137-2020-2","20",".975","1.303"
"1135-52137-2020-2","25",".881","1.184"
"1135-52137-2020-2","","",""
"1135-52137-2020-2","","",""
"1135-52137-2020-2","","",""
"1136-52137-2020-2","15","1.903","2.449"
"1136-52137-2020-2","20","1.578","2.04"
"1136-52137-2020-2","25","1.367","1.776"
"1136-52137-2020-2","","",""
"1136-52137-2020-2","","",""
"1136-52137-2020-2","","",""
"1137-52137-2020-2","15","1.767","2.276"
"1137-52137-2020-2","20","1.581","2.047"
"1137-52137-2020-2","30","1.313","1.716"
"1137-52137-2020-2","","",""
"1137-52137-2020-2","","",""
"1137-52137-2020-2","","",""
"1138-52137-2020-2","15","1.058","1.413"
"1138-52137-2020-2","20",".968","1.298"
"1138-52137-2020-2","30",".834","1.132"
"1138-52137-2020-2","","",""
"1138-52137-2020-2","","",""
"1138-52137-2020-2","","",""
"1139-52137-2020-2","15","1.232","1.627"
"1139-52137-2020-2","20","1.058","1.423"
"1139-52137-2020-2","25",".94","1.269"
"1139-52137-2020-2","","",""
"1139-52137-2020-2","","",""
"1139-52137-2020-2","","",""
"1140-52137-2020-2","10","2.418","3.09"
"1140-52137-2020-2","15","2.026","2.601"
"1140-52137-2020-2","20","1.723","2.224"
"1140-52137-2020-2","","",""
"1140-52137-2020-2","","",""
"1140-52137-2020-2","","",""
"1141-52137-2020-2","15","1.242","1.643"
"1141-52137-2020-2","20","1.136","1.512"
"1141-52137-2020-2","25","1.041","1.391"
"1141-52137-2020-2","","",""
"1141-52137-2020-2","","",""
"1141-52137-2020-2","","",""
"1142-52137-2020-2","15","1.008","1.342"
"1142-52137-2020-2","20",".927","1.241"
"1142-52137-2020-2","25",".859","1.156"
"1142-52137-2020-2","","",""
"1142-52137-2020-2","","",""
"1142-52137-2020-2","","",""
"1143-52134-18-3","10",".822","1.093"
"1143-52134-18-3","15",".766","1.024"
"1143-52134-18-3","20",".712",".957"
"1143-52134-18-3","","",""
"1143-52134-18-3","","",""
"1143-52134-18-3","","",""
"1143-52137-17-3","20","3.002","3.715"
"1143-52137-17-3","30","2.388","2.983"
"1143-52137-17-3","40","1.934","2.437"
"1143-52137-17-3","","",""
"1143-52137-17-3","","",""
"1143-52137-17-3","","",""
"1143-52137-2020-2","15","1.078","1.438"
"1143-52137-2020-2","20",".997","1.337"
"1143-52137-2020-2","30",".846","1.147"
"1143-52137-2020-2","","",""
"1143-52137-2020-2","","",""
"1143-52137-2020-2","","",""
"1144-52137-2020-2","15","1.743","2.246"
"1144-52137-2020-2","25","1.428","1.859"
"1144-52137-2020-2","30","1.281","1.676"
"1144-52137-2020-2","","",""
"1144-52137-2020-2","","",""
"1144-52137-2020-2","","",""
"1145-52137-2020-2","10","1.201","1.589"
"1145-52137-2020-2","20",".988","1.321"
"1145-52137-2020-2","25",".911","1.224"
"1145-52137-2020-2","","",""
"1145-52137-2020-2","","",""
"1145-52137-2020-2","","",""
"1166-52134-2021-2","30","2.663","3.315"
"1166-52134-2021-2","40","2.175","2.733"
"1166-52134-2021-2","50","1.852","2.35"
"1166-52134-2021-2","","",""
"1166-52134-2021-2","","",""
"1166-52134-2021-2","","",""
"11OF477257D","15","4.238","5.224"
"11OF477257D","25","3.332","4.142"
"11OF477257D","38","2.438","3.063"
"11OF477257D","","",""
"11OF477257D","","",""
"11OF477257D","","",""
"11OG46663A","15",".57",".78"
"11OG46663A","25",".5",".69"
"11OG46663A","38",".42",".59"
"11OG475337A","25","2.74","3.46"
"11OG475337A","38","1.92","2.45"
"11OG475337A","50","1.38","1.78"
"11OG475337B","15","3.08","3.85"
"11OG475337B","25","2.47","3.11"
"11OG475337B","38","1.9","2.43"
"11OG480941A","25",".51",".72"
"11OG480941A","38",".41",".57"
"11OG480941A","50",".34",".49"
"1205-52134-2017-3","10","1.914","2.451"
"1205-52134-2017-3","20","1.56","2.019"
"1205-52134-2017-3","30","1.273","1.665"
"1205-52134-2017-3","","",""
"1205-52134-2017-3","","",""
"1205-52134-2017-3","","",""
"1249-52134-2021-2","20","1.349","1.751"
"1249-52134-2021-2","30","1.103","1.447"
"1249-52134-2021-2","40",".955","1.266"
"1249-52134-2021-2","","",""
"1249-52134-2021-2","","",""
"1249-52134-2021-2","","",""
"1250-52134-2021-2","20","1.606","2.072"
"1250-52134-2021-2","30","1.32","1.721"
"1250-52134-2021-2","40","1.104","1.453"
"1250-52134-2021-2","","",""
"1250-52134-2021-2","","",""
"1250-52134-2021-2","","",""
"1251-52134-2021-2","20","1.634","2.103"
"1251-52134-2021-2","30","1.329","1.729"
"1251-52134-2021-2","40","1.142","1.501"
"1251-52134-2021-2","","",""
"1251-52134-2021-2","","",""
"1251-52134-2021-2","","",""
"1252-52134-2021-2","20",".971","1.288"
"1252-52134-2021-2","30",".818","1.098"
"1252-52134-2021-2","40",".692",".938"
"1252-52134-2021-2","","",""
"1252-52134-2021-2","","",""
"1252-52134-2021-2","","",""
"12OF568612A","25","2.08","2.59"
"12OF568612A","38","1.6","2.02"
"12OF568612A","50","1.3","1.66"
"12OF568612B","15","2.38","2.96"
"12OF568612B","25","1.91","2.41"
"12OF568612B","38","1.47","1.87"
"12OF642523A","25","5.4","6.69"
"12OF642523A","38","3.23","4.05"
"12OF642523A","50","2.48","3.14"
"12OG571908A","25","2.68","3.35"
"12OG571908A","38","2.04","2.58"
"12OG571908A","50","1.59","2.03"
"12OG633811A","15","3.47","4.34"
"12OG633811A","25","2.47","3.12"
"12OG633811A","38","1.71","2.19"
"12OG676573A","25","2.622","3.223"
"12OG676573A","38","2.015","2.504"
"12OG676573A","50","1.607","2.017"
"12OG676573A","","",""
"12OG676573A","","",""
"12OG676573A","","",""
"13-07-082-13W6","15","6.52","7.804"
"13-07-082-13W6","25","4.72","5.697"
"13-07-082-13W6","38","3.36","4.094"
"1322-52134-2022-11","10",".946","1.26"
"1322-52134-2022-11","20",".796","1.072"
"1322-52134-2022-11","30",".672",".916"
"1322-52134-2022-11","","",""
"1322-52134-2022-11","","",""
"1322-52134-2022-11","","",""
"1322-52134-2022-14","20",".901","1.201"
"1322-52134-2022-14","30",".742",".999"
"1322-52134-2022-14","40",".6",".818"
"1322-52134-2022-14","","",""
"1322-52134-2022-14","","",""
"1322-52134-2022-14","","",""
"1322-52134-2022-17","10",".926","1.234"
"1322-52134-2022-17","20",".771","1.039"
"1322-52134-2022-17","30",".635",".865"
"1322-52134-2022-17","","",""
"1322-52134-2022-17","","",""
"1322-52134-2022-17","","",""
"1322-52134-2022-2","10","1.042","1.39"
"1322-52134-2022-2","20",".847","1.142"
"1322-52134-2022-2","30",".682",".93"
"1322-52134-2022-2","","",""
"1322-52134-2022-2","","",""
"1322-52134-2022-2","","",""
"1322-52134-2022-20","15","5.171","6.438"
"1322-52134-2022-20","20","3.918","4.902"
"1322-52134-2022-20","30","2.747","3.47"
"1322-52134-2022-20","","",""
"1322-52134-2022-20","","",""
"1322-52134-2022-20","","",""
"1322-52134-2022-5","10","1.134","1.505"
"1322-52134-2022-5","20",".924","1.24"
"1322-52134-2022-5","30",".741","1.004"
"1322-52134-2022-5","","",""
"1322-52134-2022-5","","",""
"1322-52134-2022-5","","",""
"1322-52134-2022-8","10","1.334","1.747"
"1322-52134-2022-8","20","1.037","1.372"
"1322-52134-2022-8","30",".814","1.089"
"1322-52134-2022-8","","",""
"1322-52134-2022-8","","",""
"1322-52134-2022-8","","",""
"1334-52137-2020-11","15","1.444","1.883"
"1334-52137-2020-11","20","1.265","1.658"
"1334-52137-2020-11","30","1.019","1.351"
"1334-52137-2020-11","","",""
"1334-52137-2020-11","","",""
"1334-52137-2020-11","","",""
"1334-52137-2020-14","15","1.062","1.42"
"1334-52137-2020-14","20",".978","1.314"
"1334-52137-2020-14","25",".883","1.193"
"1334-52137-2020-14","","",""
"1334-52137-2020-14","","",""
"1334-52137-2020-14","","",""
"1334-52137-2020-17","10","1.298","1.709"
"1334-52137-2020-17","15","1.191","1.576"
"1334-52137-2020-17","20","1.072","1.427"
"1334-52137-2020-17","","",""
"1334-52137-2020-17","","",""
"1334-52137-2020-17","","",""
"1334-52137-2020-2","15","1.101","1.468"
"1334-52137-2020-2","20","1.018","1.365"
"1334-52137-2020-2","25",".935","1.259"
"1334-52137-2020-2","","",""
"1334-52137-2020-2","","",""
"1334-52137-2020-2","","",""
"1334-52137-2020-20","10","1.31","1.722"
"1334-52137-2020-20","15","1.191","1.574"
"1334-52137-2020-20","20","1.087","1.444"
"1334-52137-2020-20","","",""
"1334-52137-2020-20","","",""
"1334-52137-2020-20","","",""
"1334-52137-2020-23","15","2.122","2.736"
"1334-52137-2020-23","20","1.701","2.207"
"1334-52137-2020-23","25","1.403","1.897"
"1334-52137-2020-23","","",""
"1334-52137-2020-23","","",""
"1334-52137-2020-23","","",""
"1334-52137-2020-26","10","1.719","2.263"
"1334-52137-2020-26","15","1.442","1.909"
"1334-52137-2020-26","20","1.176","1.57"
"1334-52137-2020-26","","",""
"1334-52137-2020-26","","",""
"1334-52137-2020-26","","",""
"1334-52137-2020-29","10","1.139","1.506"
"1334-52137-2020-29","15","1.051","1.397"
"1334-52137-2020-29","20",".96","1.283"
"1334-52137-2020-29","","",""
"1334-52137-2020-29","","",""
"1334-52137-2020-29","","",""
"1334-52137-2020-32","10","1.192","1.583"
"1334-52137-2020-32","15","1.103","1.472"
"1334-52137-2020-32","20","1.015","1.362"
"1334-52137-2020-32","","",""
"1334-52137-2020-32","","",""
"1334-52137-2020-32","","",""
"1334-52137-2020-35","10","1.327","1.75"
"1334-52137-2020-35","15","1.192","1.58"
"1334-52137-2020-35","20","1.067","1.422"
"1334-52137-2020-35","","",""
"1334-52137-2020-35","","",""
"1334-52137-2020-35","","",""
"1334-52137-2020-5","15","1.819","2.341"
"1334-52137-2020-5","20","1.599","2.069"
"1334-52137-2020-5","30","1.276","1.667"
"1334-52137-2020-5","","",""
"1334-52137-2020-5","","",""
"1334-52137-2020-5","","",""
"1334-52137-2020-8","15","1.872","2.408"
"1334-52137-2020-8","20","1.589","2.054"
"1334-52137-2020-8","25","1.39","1.806"
"1334-52137-2020-8","","",""
"1334-52137-2020-8","","",""
"1334-52137-2020-8","","",""
"1355-52134-2022-4","15","2.279","2.891"
"1355-52134-2022-4","20","2.055","2.619"
"1355-52134-2022-4","30","1.57","2.022"
"1355-52134-2022-4","","",""
"1355-52134-2022-4","","",""
"1355-52134-2022-4","","",""
"1362-52137-2020-2","15","1.952","2.502"
"1362-52137-2020-2","25","1.55","2.006"
"1362-52137-2020-2","30","1.416","1.841"
"1362-52137-2020-2","","",""
"1362-52137-2020-2","","",""
"1362-52137-2020-2","","",""
"13OF713929B","15","1.97","2.52"
"13OF713929B","25","1.61","2.08"
"13OF713929B","38","1.29","1.69"
"13OF720323B","25",".83","1.11"
"13OF720323B","38",".68",".92"
"13OF720323B","50",".61",".83"
"13OF721548B","15",".79","1.07"
"13OF721548B","25",".65",".88"
"13OF721548B","38",".5",".69"
"13OF730726B","5",".47",".65"
"13OF730726B","15",".42",".59"
"13OF730726B","25",".38",".54"
"13OF753442B","5",".69",".92"
"13OF753442B","15",".62",".84"
"13OF753442B","25",".56",".76"
"13OF753968C","5",".74",".99"
"13OF753968C","15",".66",".89"
"13OF753968C","25",".58",".8"
"13OF753968D","15",".77","1.02"
"13OF753968D","25",".65",".88"
"13OF753968D","35",".55",".76"
"13OF755532A","5","3.544","4.41"
"13OF755532A","15","2.51","3.15"
"13OF755532A","25","1.951","2.47"
"13OF755532A","","",""
"13OF755532A","","",""
"13OF755532A","","",""
"13OF772251D","15",".61",".83"
"13OF772251D","25",".56",".77"
"13OF772251D","38",".5",".7"
"13OF773856B","15",".75","1"
"13OF773856B","25",".63",".86"
"13OF773856B","35",".54",".73"
"13OF774477A","15",".68",".92"
"13OF774477A","25",".6",".82"
"13OF774477A","35",".53",".73"
"13OF775367B","5",".8","1.07"
"13OF775367B","15",".71",".95"
"13OF775367B","25",".64",".88"
"13OF775529B","5",".84","1.13"
"13OF775529B","15",".74","1"
"13OF775529B","25",".66",".9"
"13OF775615B","5",".77","1.03"
"13OF775615B","15",".7",".94"
"13OF775615B","25",".63",".86"
"13OF775837B","5",".77","1.02"
"13OF775837B","15",".68",".91"
"13OF775837B","25",".6",".82"
"13OF776479B","15",".68",".91"
"13OF776479B","25",".61",".83"
"13OF776479B","35",".56",".76"
"13OF776795B","5",".76","1.02"
"13OF776795B","15",".67",".91"
"13OF776795B","25",".61",".84"
"13OF777582B","5",".76","1.02"
"13OF777582B","15",".68",".91"
"13OF777582B","25",".59",".81"
"13OF778023B","5",".76","1.02"
"13OF778023B","15",".67",".91"
"13OF778023B","25",".61",".83"
"13OF778517B","5",".64",".87"
"13OF778517B","15",".57",".79"
"13OF778517B","25",".52",".72"
"13OF778997D","5",".41",".58"
"13OF778997D","15",".39",".55"
"13OF778997D","25",".37",".53"
"13OF786990B","5",".74",".99"
"13OF786990B","15",".65",".89"
"13OF786990B","25",".6",".82"
"13OF791830B","5",".69",".93"
"13OF791830B","15",".62",".84"
"13OF791830B","25",".56",".77"
"13OG679225A","25","3.405","4.126"
"13OG679225A","38","2.544","3.116"
"13OG679225A","50","1.999","2.472"
"13OG679225A","","",""
"13OG679225A","","",""
"13OG679225A","","",""
"13OG681872A","25","3.915","4.716"
"13OG681872A","38","2.881","3.505"
"13OG681872A","50","2.254","2.768"
"13OG681872A","","",""
"13OG681872A","","",""
"13OG681872A","","",""
"1403-52134-2021-2","20","2.162","2.762"
"1403-52134-2021-2","30","1.686","2.175"
"1403-52134-2021-2","40","1.365","1.779"
"1403-52134-2021-2","","",""
"1403-52134-2021-2","","",""
"1403-52134-2021-2","","",""
"1404-52134-2021-2","20","1.451","1.877"
"1404-52134-2021-2","30","1.197","1.564"
"1404-52134-2021-2","40","1.031","1.362"
"1404-52134-2021-2","","",""
"1404-52134-2021-2","","",""
"1404-52134-2021-2","","",""
"1405-52134-2021-2","20","1.692","2.173"
"1405-52134-2021-2","30","1.374","1.783"
"1405-52134-2021-2","40","1.188","1.557"
"1405-52134-2021-2","","",""
"1405-52134-2021-2","","",""
"1405-52134-2021-2","","",""
"1406-52134-2021-2","20","1.753","2.248"
"1406-52134-2021-2","30","1.414","1.831"
"1406-52134-2021-2","40","1.192","1.56"
"1406-52134-2021-2","","",""
"1406-52134-2021-2","","",""
"1406-52134-2021-2","","",""
"1407-52134-2021-2","20","1.172","1.538"
"1407-52134-2021-2","30",".986","1.308"
"1407-52134-2021-2","40",".824","1.105"
