"OIL_DIST FILE"
"Oil_lab_num","Fractn_distlld_vol","Distlltn_temp (C)"
"0475-52137-2020-3","",""
"0475-52137-2020-3","",""
"0475-52137-2020-3","",""
"0475-52137-2020-3","",""
"0475-52137-2020-3","",""
"0475-52137-2020-3","",""
"0475-52137-2020-3","",""
"0475-52137-2020-3","",""
"0477-52137-2020-2","",""
"0477-52137-2020-2","",""
"0477-52137-2020-2","",""
"0477-52137-2020-2","",""
"0477-52137-2020-2","",""
"0477-52137-2020-2","",""
"0477-52137-2020-2","",""
"0477-52137-2020-2","",""
"0477-52137-2020-2","",""
"0477-52137-2020-2","",""
"0477-52137-2020-2","",""
"0477-52137-2020-2","",""
"0477-52137-2020-2","",""
"0477-52137-2020-2","",""
"0477-52137-2020-2","",""
"0477-52137-2020-2","",""
"0477-52137-2020-2","",""
"0477-52137-2020-2","",""
"0477-52137-2020-2","",""
"0477-52137-2020-2","",""
"0478-52137-2020-2","",""
"0478-52137-2020-2","",""
"0478-52137-2020-2","",""
"0478-52137-2020-2","",""
"0478-52137-2020-2","",""
"0478-52137-2020-2","",""
"0478-52137-2020-2","",""
"0478-52137-2020-2","",""
"0478-52137-2020-2","",""
"0478-52137-2020-2","",""
"0478-52137-2020-2","",""
"0478-52137-2020-2","",""
"0478-52137-2020-2","",""
"0478-52137-2020-2","",""
"0478-52137-2020-2","",""
"0478-52137-2020-2","",""
"0478-52137-2020-2","",""
"0478-52137-2020-2","",""
"0478-52137-2020-2","",""
"0478-52137-2020-2","",""
"0479-52137-2020-3","",""
"0479-52137-2020-3","",""
"0479-52137-2020-3","",""
"0479-52137-2020-3","",""
"0479-52137-2020-3","",""
"0479-52137-2020-3","",""
"0479-52137-2020-3","",""
"0479-52137-2020-3","",""
"0479-52137-2020-3","",""
"0479-52137-2020-3","",""
"0479-52137-2020-3","",""
"0479-52137-2020-3","",""
"0479-52137-2020-3","",""
"0479-52137-2020-3","",""
"0479-52137-2020-3","",""
"0479-52137-2020-3","",""
"0479-52137-2020-3","",""
"0479-52137-2020-3","",""
"0479-52137-2020-3","",""
"0479-52137-2020-3","",""
"0490-52134-2021-3","",""
"0490-52134-2021-3","",""
"0490-52134-2021-3","",""
"0490-52134-2021-3","",""
"0490-52134-2021-3","",""
"0490-52134-2021-3","",""
"0490-52134-2021-3","",""
"0490-52134-2021-3","",""
"0490-52134-2021-3","",""
"0490-52134-2021-3","",""
"0490-52134-2021-3","",""
"0490-52134-2021-3","",""
"0490-52134-2021-3","",""
"0490-52134-2021-3","",""
"0490-52134-2021-3","",""
"0490-52134-2021-3","",""
"0490-52134-2021-3","",""
"0490-52134-2021-3","",""
"0490-52134-2021-3","",""
"0490-52134-2021-3","",""
"0491-52134-2021-3","",""
"0491-52134-2021-3","",""
"0491-52134-2021-3","",""
"0491-52134-2021-3","",""
"0491-52134-2021-3","",""
"0491-52134-2021-3","",""
