"F_OPERATOR FILE"
"Fac Id Code","Oper Id","Fac Oper Eff Period","Fac Oper Term Period"
"00000153","00682","199705","201102"
"00000153","09850","198904","199107"
"00000154","00047","201102","201203"
"00000154","00083","199107","199706"
"00000154","00237","201203",""
"00000154","00682","199706","201102"
"00000155","00047","201102","202202"
"00000155","00083","199107","199705"
"00000155","00682","199705","201102"
"00000155","00831","202202",""
"00000155","09850","198904","199107"
"00000156","00083","199107","199701"
"00000156","00114","199701","199908"
"00000156","00237","199908",""
"00000156","09850","198904","199107"
"00000157","00850","201205","201407"
"00000157","01111","201407",""
"00000157","09850","198904","201205"
"00000158","00065","201611","202002"
"00000158","00715","199809","200003"
"00000158","00831","202102",""
"00000158","00862","198904","199809"
"00000158","00933","202002","202102"
"00000158","08188","200003","201611"
"00000159","00237","200110",""
"00000159","00262","199201","200110"
"00000160","00881","196501","201105"
"00000160","00953","201105",""
"00000161","00881","199007","201105"
"00000161","00953","201105",""
"00000162","00237","196609",""
"00000163","00237","196407",""
"00000164","00237","197003",""
"00000165","00237","197003",""
"00000166","00639","201106","202002"
"00000166","00881","197906","201106"
"00000166","11048","202002","202009"
"00000166","11075","202009",""
"00000167","00237","199211",""
"00000168","00237","201106",""
"00000168","00881","197002","201106"
"00000169","00237","198002",""
"00000170","00237","201106",""
"00000170","00881","198809","201106"
"00000171","00639","201106","202002"
"00000171","00881","198804","201106"
"00000171","11048","202002","202009"
"00000171","11075","202009",""
"00000172","00639","201912","202002"
"00000172","00880","198904","201912"
"00000172","11048","202002","202009"
"00000172","11075","202009",""
"00000173","00013","199704","200207"
"00000173","00553","199211","199704"
"00000173","00639","200207","202002"
"00000173","11048","202002","202009"
"00000173","11075","202009",""
"00000174","00237","201910",""
"00000174","00440","201012","201910"
"00000174","00720","198904","201012"
"00000175","00237","201912",""
"00000175","00880","198904","201912"
"00000176","00013","198501","200212"
"00000176","00691","201212","201811"
"00000176","00691","201811",""
"00000176","00706","201212","201212"
"00000176","07006","200310","201212"
"00000176","07230","200212","200310"
"00000177","00237","201910",""
"00000177","00907","198904","201910"
"00000178","00237","201101",""
"00000178","00907","198904","201101"
"00000179","00237","201101",""
"00000179","00907","198904","201101"
"00000180","00237","200711",""
"00000180","00260","198005","200711"
"00000181","00237","201605",""
"00000181","00349","200707","200707"
"00000181","00558","199211","199606"
"00000181","00575","199606","200707"
"00000181","08203","200707","201605"
"00000182","00558","199211",""
"00000183","00237","200001",""
"00000184","00056","200104","201101"
"00000184","00057","201101",""
"00000184","00947","198904","200104"
"00000185","00819","202002",""
"00000185","00947","198904","202002"
"00000186","00237","201503",""
"00000186","00262","199208","200002"
"00000186","00440","200002","201503"
"00000187","00230","202102",""
"00000187","00237","201503","202102"
"00000187","00440","200203","201503"
"00000187","08144","198606","200203"
"00000188","00237","200507",""
"00000188","00260","199411","200507"
"00000189","00237","201107",""
"00000189","08163","199508","201107"
"00000190","00047","201102",""
"00000190","05067","197801","200103"
"00000190","07014","200103","201102"
"00000191","00010","201102","201206"
"00000191","00075","198904","200004"
"00000191","00099","200004","200701"
"00000191","00237","200701","201102"
"00000191","00237","201206",""
"00000192","00085","198904","199705"
"00000192","00237","199705",""
"00000193","00237","201910",""
"00000193","00491","198904","201910"
"00000194","00174","198611","200801"
"00000194","00710","200801","201202"
"00000194","00819","201706","202006"
"00000194","08203","201202","201706"
"00000194","11034","202006",""
"00000195","00237","200303",""
"00000196","00454","198503","202203"
"00000196","01016","202203",""
"00000197","00194","200804","201101"
"00000197","00639","201101","202002"
"00000197","11048","202002","202009"
"00000197","11075","202009",""
"00000198","00013","199304","200207"
"00000198","00237","202002",""
"00000198","00639","200207","200211"
"00000198","00691","200211","201811"
"00000198","00691","201811","202002"
"00000198","00696","200211","200211"
"00000199","00410","201608","202201"
"00000199","00639","201101","201608"
"00000199","02011","202201",""
"00000199","07230","200409","201101"
"00000200","00092","200810","201007"
"00000200","00337","198011","200810"
"00000200","00528","201007","201903"
"00000200","02011","201903",""
"00000201","00233","198904","201812"
"00000201","00416","201812",""
"00000202","00092","201011",""
"00000202","00337","199207","201011"
"00000203","00645","198407","200302"
"00000203","00691","201212","201811"
"00000203","00691","201811",""
"00000203","00706","201212","201212"
"00000203","00763","200302","200302"
"00000203","07006","200302","201212"
"00000203","09037","200302","200302"
"00000204","00233","198601","201007"
"00000204","00826","201705","201802"
"00000204","01016","201802",""
"00000204","08193","201007","201705"
"00000205","00233","199003","201007"
"00000205","00826","201705","201801"
"00000205","01016","201801",""
"00000205","08193","201007","201705"
"00000206","00083","199107","199704"
"00000206","00237","199704",""
"00000207","00769","201203","201310"
"00000207","00988","201310","201712"
"00000207","01018","201712",""
"00000207","09850","198904","201203"
"00000208","00052","200504","201111"
"00000208","00097","199211","200504"
"00000208","00237","201706",""
"00000208","00260","198904","199211"
"00000208","00367","201111","201706"
"00000209","00013","199907","200207"
"00000209","00097","199211","199907"
"00000209","00639","200207","200211"
"00000209","00691","200211","201212"
"00000209","00691","201212","201811"
"00000209","00691","201811","201906"
"00000209","00696","200211","200211"
"00000209","00706","201212","201212"
"00000209","01008","201906",""
"00000210","00052","200504","201111"
