Well Authorization Number,Completion Event Sequence,UWI,Zone Prod Period,Area Code,Formtn Code,Well Area Name,Oper Abbreviation,Production Days,Gas Production (e3m3),Oil Production (m3),Condensate Production (m3),Water Production (m3),Marketable Gas Volume (e3m3),Ethane Sales Volume (m3),Propane Sales Volume (m3),Butane Sales Volume (m3),Pentane Sales Volume (m3)
30280,00,103130607717W600,202203,8115,4900,SUNDOWN,TOURMALINE,31,360.6,0,0,0,306.8,0,0,0,0
30287,00,203B078G094B0900,202203,9022,5000,KOBES,CNRL,31,1062.9,0,0,29.7,1031.8,0,0,0,0
30295,00,100041308220W600,202204,9021,5000,WILDER,CREW,30,387.1,0,0,26.3,357.2,.4,23.4,21.5,24.1
30297,00,202B015H094B0800,202204,9022,5000,ALTARES,PACIFIC CANBRIAM,30,1491.4,0,0,82.7,1430.5,.4,26.3,38.7,129
31033,00,203D002E094G0800,202203,9022,5000,JEDNEY,PETRONAS,30.2,882.5,0,11.9,92.9,843.3,.4,13.3,33.9,53.2
31047,00,202A095C094B1600,202204,9022,5000,TOWN,CNRL,30,1189.8,0,0,72.4,1131.7,.5,24.5,10.9,5.2
32438,00,202D087H094B0900,202204,9022,5000,TOWNSEND,CNRL,30,568.6,0,0,38.5,507.2,.8,65.2,43.9,65.3
32439,00,200D045H094B0900,202203,9022,5000,TOWNSEND,CNRL,31,493.6,0,0,85.3,436.4,.4,68.2,37.8,60.6
32442,00,202C087H094B0900,202202,9022,5000,TOWNSEND,CNRL,28,522.7,0,0,110.5,6.3,0,0,0,0
35780,00,102051108118W600,202203,9021,5000,TOWERLAKE,OVV,30.6,676.2,0,252.8,37.9,642.3,.5,47.6,32.7,15.6
35781,00,102121108118W600,202204,9021,5000,TOWERLAKE,OVV,29.8,401.1,0,250.8,76.2,370.3,.4,47.5,28.6,11
35845,00,100080208016W600,202203,9021,5000,SUNRISE,TOURMALINE,30.9,839.5,0,0,39.1,1539.9,.2,46.6,48.3,150.2
36005,00,103130808015W600,202204,9021,5000,DOE,TOURMALINE,30,693.1,0,0,58.8,635.7,.3,34.6,26.2,70.5
34093,00,200B086H094G0800,202202,9022,5000,LAPRISE,TOURMALINE,18.6,421,0,38.8,13.5,,,,,
21041,00,200A056B094H1200,202202,1350,4100,BLACK,TOURMALINE,27.9,104,0,2.7,3.8,,,,,
00363,00,100140308514W600,202203,2000,4535,BOUNDARY,WHITECAP,31,19.2,80.3,0,566.4,,,,,
28440,00,100100908020W600,202204,9021,5000,GROUNDBIRCH,SHELL,30,271.9,0,0,33.7,269.6,.1,.3,.4,.7
29085,00,200A011J094G0200,202203,9022,5000,LILY,PETRONAS,24.2,313.4,0,0,17.7,296.9,0,.4,.6,1.1
31103,00,104040608017W600,202203,9021,5000,SUNRISE,OVV,31,1073.6,0,39.5,89.8,1024.2,.8,55.1,46.4,39
31114,00,200D100I094B0900,202203,9022,5000,W GUNDY,PETRONAS,30.6,1494.3,0,.1,58.7,1374.2,.7,22.1,32.9,27.6
31125,00,203A042K094G0700,202203,9022,5000,CARIBOU,PETRONAS,29.1,465.2,0,0,20.4,444.3,0,0,0,0
36219,00,102100908116W600,202204,9021,5000,PARKLAND,ARCRES,30,91.5,0,0,88.7,80.9,.5,10.9,9.1,27.3
36223,00,103042408018W600,202204,9021,5000,SUNRISE,OVV,29.8,825.7,0,273,433.4,784.9,.7,43.9,36.2,23.5
36229,00,103052408018W600,202203,9021,5000,SUNRISE,OVV,30.5,2509,0,710.4,545.6,2374.4,1.7,151,148.3,116.5
36308,00,100140608017W600,202204,9021,5000,SUNRISE,OVV,11.3,189.8,0,9.9,74.3,175.2,.2,7.6,7.4,7
40754,00,100163407818W600,202202,9021,5000,SUNRISE,ARCRES,25.4,2904,0,0,134.2,,,,,
09376,00,200D083L094A1200,202202,1400,7400,BLUEBERRY,PAVILION,28,63.9,271.2,0,3,,,,,
21760,00,200D050J094B1600,202202,8160,2600,TOWN,PETRONAS,25.2,219.3,0,5.1,7.3,,,,,
23216,02,100053107715W602,202202,9021,5000,SUNRISE,OVV,28,504.2,0,0,12.6,,,,,
08529,00,200A022F094H1600,202202,7660,4990,RING,CNRL,28,1,0,0,0,,,,,
28311,00,100051807918W600,202202,9021,5000,SUNSET,SHELL,28,997.6,0,0,27.1,,,,,
30012,00,102051708120W600,202202,9021,5000,GROUNDBIRCH,SHELL,28,784.1,0,0,55.3,,,,,
27284,00,200D083F094B1600,202202,9022,5000,TOWN,CNRL,28,192.7,0,0,5.8,,,,,
28868,00,200B009D094H0300,202202,9022,5000,W BUICK,CNRL,27,427.2,0,73.6,20.1,,,,,
12946,00,200A091B094O1400,202202,5852,2805,MAXHAMISH,BENCH CREEK RES,28,71.6,0,2.9,1.7,,,,,
36845,00,100053208425W600,202202,9022,5000,ALTARES,PACIFIC CANBRIAM,28,2356,0,0,135.2,,,,,
27884,00,200B063H093P0100,202202,9030,2800,KELLY,OVV,18.3,335.4,0,0,7.9,,,,,
21662,00,200A032H094A1300,202202,3540,4805,FIREWEED,CNRL,17.5,64.6,88.3,0,126.8,,,,,
15067,02,200A002A093P0802,202202,5170,2000,KELLY,OVV,5.5,12.9,0,0,.1,,,,,
27419,00,103121808325W600,202202,9022,5000,ALTARES,CNRL,6,48.5,0,0,17.9,,,,,
03364,00,100062208418W600,202203,3440,6250,EAGLE,CNRL,31,5.6,53.5,0,2.1,,,,,
10286,00,200B007D094H0600,202202,6410,2600,N NIG,CNRL,21,3.2,0,.1,.1,,,,,
19590,00,200C045F094P0400,202202,4470,8200,GUNNELL,NTE CANADA,28,1.8,0,0,0,,,,,
30620,00,104010708015W600,202202,9021,5000,SUNRISE,TOURMALINE,28,473.4,0,0,105.1,,,,,
11969,02,200D099I094P0202,202202,4700,8200,HELMET,CNRL,27,13.5,0,.4,.1,,,,,
20300,02,100112408118W602,202202,8157,4500,TOWER,ARCRES,26.1,108.7,0,0,0,,,,,
29701,00,202D047G094G0700,202202,9022,5000,CARIBOU,PETRONAS,25,651.7,0,0,21.7,,,,,
32186,00,102141407715W600,202202,9021,5000,SWANLAKE,OVV,27.8,1759.7,0,100,.4,,,,,
33894,00,105150408017W600,202202,9021,5000,SUNRISE,OVV,28,996.3,0,44,215.8,,,,,
10852,03,200C052A094P1103,202202,4700,8200,HELMET,ERIKSON,28,156.4,0,0,3,,,,,
30573,00,102161908015W600,202202,9021,5000,DOE,TOURMALINE,28,401.5,0,0,44.3,,,,,
30742,00,200C026B094B1600,202202,9022,5000,GUNDY,PETRONAS,27.4,892.1,0,.3,32.5,,,,,
32286,00,100141207715W600,202202,9021,5000,SWAN LAKE,OVV,22.8,856.1,0,55.4,28.2,,,,,
25544,00,200B074A093P0900,202202,9021,5000,SWAN,MURPHY,25.6,443.7,0,0,2.1,,,,,
20278,00,200A043G094P0800,202202,4700,8200,HELMET,CNRL,27,4.4,0,0,.1,,,,,
