"DST_RATE FILE"
"Wa_num","Drillng_event_seq","Dst_num","Flowing_fluid_type","Init_fluid_rate","Avg_fluid_rate","Final_fluid_rate"
"00227","00","012","GAS","24.793","0","4.646"
"00229","00","001","GAS","0","8.452","8.452"
"00232","00","006","GAS","3.913","0","0"
"00233","00","001","GAS","5.578","0","3.381"
"00233","00","003","GAS","0","0","98.13"
"00233","00","004","GAS","0","0","82.409"
"00233","00","005","GAS","0","0","4.818"
"00236","00","008","GAS","0","5.635","0"
"00236","00","012","GAS","9.576","0","6.762"
"00238","00","017","GAS","35.217","0","38.035"
"00238","00","018","GAS","35.217","0","38.035"
"00238","00","019","GAS","45.642","0","56.348"
"00238","00","021","GAS","15.777","0","581.229"
"00238","00","022","GAS","22.877","0","28.118"
"00238","00","025","GAS","19.327","0","37.469"
"00238","02","003","GAS",".479","","19.299"
"00239","00","001","GAS","0","0","41.078"
"00239","00","004","GAS","48.685","0","91.284"
"00240","00","011","GAS","0","112.696","0"
"00240","00","013","GAS","0",".141","0"
"00242","00","001","GAS","26.202","0","0"
"00242","00","003","GAS","27.526","0","29.273"
"00242","00","005","GAS","80.916","0","90.974"
"00242","00","008","GAS","23.384","0","38.655"
"00242","00","009","GAS","14.087","0","33.862"
"00245","00","005","GAS","26.934","0","0"
"00247","00","011","GAS","2.198","0",".986"
"00249","00","002","GAS","16.451","0","16.451"
"00249","00","003","GAS","11.157","0","8.928"
"00250","00","006","GAS","3.043","0","0"
"00251","00","002","GAS","1.155","0","0"
"00251","00","003","GAS","0","0","27.354"
"00251","00","004","GAS","85.931","0","153.548"
"00252","00","002","GAS","3.043","0","2.758"
"00252","00","005","GAS","24.793","0","24.793"
"00253","00","004","GAS","22.539","0","0"
"00253","00","008","GAS","0","0","112.696"
"00253","00","013","GAS","1.352","0","0"
"00255","00","001","GAS","50.854","90.157","90.157"
"00255","00","002","GAS","79.253","0","79.253"
"00255","00","005","GAS","30.991","0","70.998"
"00255","00","006","GAS","19.665","0","70.998"
"00255","00","007","GAS","1.24","0","1.747"
"00255","00","008","GAS","3.944","0","10.424"
"00255","00","012","GAS","3.913","0","6.48"
"00256","00","005","GAS","5.519","0","4.93"
"00256","00","006","GAS","5.804","0","2.758"
"00256","00","007","GAS","2.758","0","1.747"
"00257","00","002","GAS",".62","0",".451"
"00258","00","006","GAS","28.118","0","1.972"
"00259","00","001","GAS","12.763","0","13.58"
