"OIL_ANAL FILE"
"UWI","Area_code","Formtn_code","Pool_seq","Wa_num","Drillng_event_seq","Oil_lab_num","Sample_point_code","Test_Perf_Flag","Oil_anlyss_base_depth (m)","Oil_anlyss_top_depth (m)","Sample_date","Bsw_total","Reltv_densty (kg/m3)","Abslt_oil_densty (kg/m3)","Api_gravty","Tot_sulphr_mass_fractn","Pour_point_usb_m (C)","Distlltn_crackd (C)","Naphtha_fractn_200C","Kersn_fractn_275C","Light_gas_oil_fractn_350C","Charctrzed_factor","Invert_mud_sample","Oil_anlyss_comments","Pour_point_astm (C)","Press_recvd (kPa)","Temp_recvd (C)","Distlltn_method_type","Final_boil_point (C)","Project_code"
"100160608116W600","9021","5000","A","31376","00","17OG218586C","MET","","3779.5","2106","20170523",".001",".796","795.5","46.21",".02574","","",".41",".16",".19","12.3","","","-15","","","A.S.T.M. D-86","357.3","62"
"102160608116W600","9021","5000","A","31377","00","6422-52136-17-7","SEP","","3805.5","2152","20170526",".002","","793.2","","","","","0","0","0","","","Total Sulphur (Not Detected) < 0.50 g/kg.","-30","","","","","62"
"103160608116W600","9021","5000","A","31378","00","17OG218586B","MET","","3924.5","2123","20170523",".001",".799","798.2","45.61",".02611","","",".39",".16",".18","12.3","","","-18","","","A.S.T.M. D-86","357.3","62"
"104160608116W600","9021","5000","A","31379","00","6422-52136-17-3","OTH","","4120.5","2143","20170524","","","795.2","","","","","0","0","0","","","Total Sulphur (Not Detected) < 0.50 g/kg.","-24","","","","","62"
"103121108117W600","9021","5000","A","31387","00","6914-52136-15-7","SEP","","4591","2250","20151210","","","804.3","","","","","0","0","0","","","Total Sulphur (Not Detected) < 0.50 g/kg.","-24","","","","","62"
"102121108117W600","9021","5000","A","31388","00","6914-52136-15-11","SEP","","4638","2320","20151210","","","803.6","","","","","0","0","0","","","Total Sulphur (Not Detected) < 0.50 g/kg.","-27","","","","","62"
"100121108117W600","9021","5000","A","31389","00","6914-52136-15-3","SEP","","4567","2198","20151209","","","807.3","","","","","0","0","0","","","Total Sulphur (Not Detected) < 0.50 g/kg.","-24","","","","","62"
"105131108117W600","9021","5000","A","31390","00","6914-52136-15-23","SEP","","4169","2150","20151218","","","803","","","","","0","0","0","","","Total Sulphur (Not Detected) < 0.50 g/kg.","-24","","","","","62"
"104131108117W600","9021","5000","A","31391","00","6914-52136-15-15","SEP","","4578","2133","20151214","","","804.1","","","","","0","0","0","","","Total Sulphur (Not Detected) < 0.50 g/kg.","-21","","","","","62"
"103131108117W600","9021","5000","A","31392","00","6914-52136-15-31","OTH","","4666","2169","20151218","","","801.5","","","","","0","0","0","","","Total Sulphur (Not Detected) < 0.50 g/kg.","-21","","","","","62"
"102131108117W600","9021","5000","A","31393","00","6914-52136-15-19","SEP","","4667","2119","20151218","","","806.3","","","","","0","0","0","","","Total Sulphur (Not Detected) < 0.50 g/kg.","-18","","","","","62"
"100163408425W600","9022","5000","A","31395","00","2448164","SEP","","5222.9","2254","20190924","",".746","745.6","58.3",".0001","","",".6",".14","","","","","","","","D86-Modified","340","00"
"100153408425W600","9022","5000","A","31397","00","2442394","SEP","","5167.8","2241","20190909","",".73","729.7","62.4","0","","",".67",".12","","","","","","","","D86-Modified","357","00"
"102143408425W600","9022","5000","A","31398","00","2448154","SEP","","5253.9","2347","20190924","",".734","733.2","61.5","0","","",".66",".12","","","","","","","","D86-Modified","359","00"
"100141708413W600","2000","4535","A","31399","00","15R047640","PT","","2164","1588","20151125",".161",".858","857.6","33.35",".91205","","",".17",".1",".13","11.9","","","-6","","","A.S.T.M. D-86","357.8","02"
"100041408117W600","9021","5000","A","31414","00","6914-52136-15-27","OTH","","4760","2185","20151218","","","803.9","","","","","0","0","0","","","Total Sulphur (Not Detected) < 0.50 g/kg.","-27","","","","","62"
"100140408016W600","8120","4500","","31415","00","B9A4610-XB4052","OTH","","1745.5","1744","20191201",".43",".827","826.5","39.6",".159","","","","","","","","","-35","","23","","315.7","00"
"100162808414W600","2000","4535","A","31471","00","16R058823","PT","","1837.2","1371","20160110",".001",".854","853.7","34.1",".81239","","",".27",".14",".23","11.9","","","-12","","","A.S.T.M. D-86","357.3","02"
"100043308413W600","2000","4535","A","31476","00","15R052758","PT","","2238","1523","20151210",".001",".853","852.5","34.33",".91863","","",".25",".14",".25","11.9","","","-3","","","A.S.T.M. D-86","357.9","02"
"200C013D094A1300","9022","5000","A","31490","00","1439-52134-2017-4","MET","","4281.8","2730","20170601","0","","754.7","","","","","0","0","0","","","Total Sulphur (Not Detected) < 0.50 g/kg. Viscosity Graph not available at low values.","-18","","","ASTM D-86","","00"
"200C013D094A1300","9022","5000","A","31490","00","17OF195165A","MET","","4281.8","2730","20170310",".001","","774.6","","0","","","0","0","0","","","","0","","","A.S.T.M. D-86","0","00"
"200C013D094A1300","9022","5000","A","31490","00","18OF336203B","MET","","4281.8","2730","20171124",".001",".763","762.7","53.87",".00433","","","0","0","0","12.1","","Kinematic Viscosity @ 30 �C could not be measured  as the sample was boiling at this temperature","-15","","","A.S.T.M. D-86","0","00"
"200C013D094A1300","9022","5000","A","31490","00","3008-52134-2016-3","MET","","4281.8","2730","20161105","0","","774.6","","","","","0","0","0","","","Total Sulphur (Not Detected) < 0.50 g/kg.","-27","","","ASTM D-86","","00"
"200C013D094A1300","9022","5000","A","31490","00","3008-52134-2016-9","SEP","","4281.8","2730","20161106","0","","772.8","","","","","0","0","0","","","Total Sulphur (Not Detected) < 0.50 g/kg.","-24","","17","ASTM D-86","","00"
"202C013D094A1300","9022","5000","A","31491","00","1205-52134-2017-3","SEP","","4200.9","2195","20170504","0","","776.8","","","","","0","0","0","","","Total Sulphur (Not Detected) < 0.50 g/kg.","-51","","17","ASTM D-86","","00"
"202C013D094A1300","9022","5000","A","31491","00","17OF195165B","SEP","","4200.9","2195","20170310",".001","","784.7","","0","","","0","0","0","","","BS&W performed on oil portion only.","0","","","A.S.T.M. D-86","0","00"
"202C013D094A1300","9022","5000","A","31491","00","18OF336203D","SEP","","4200.9","2195","20171124",".001",".773","772.6","51.5",".02609","","","0","0","0","12.1","","Kinematic Viscosity @ 30 �C could not be measured  as the sample was boiling at this temperature","-24","","","A.S.T.M. D-86","0","00"
"202C013D094A1300","9022","5000","A","31491","00","3058-52134-2016-3","SEP","","4200.9","2195","20161115","0","","784.7","","","","","0","0","0","","","Total Sulphur (Not Detected) < 0.50 g/kg.","-39","","18","ASTM D-86","","00"
"202C013D094A1300","9022","5000","A","31491","00","3058-52134-2016-9","MET","","4200.9","2195","20161116",".004","","781.1","","","","","0","0","0","","","Total Sulphur (Not Detected) < 0.50 g/kg.","-21","","","ASTM D-86","","00"
"200D014D094A1300","9022","5000","A","31492","00","18OF336203C","SEP","","4230","2861","20161217",".001",".759","758.1","55",".00506","","","0","0","0","12.1","","Kinematic Viscosity @ 30 �C could not be measured  as the sample was boiling at this temperature","-12","","","A.S.T.M. D-86","0","00"
"200D014D094A1300","9022","5000","A","31492","00","18OF336203E","SEP","","4230","2861","20161220",".001",".761","760.1","54.49",".01366","","","0","0","0","12.1","","Kinematic Viscosity @ 30 �C could not be measured  as the sample was boiling at this temperature","-21","","","A.S.T.M. D-86","0","00"
"200D014D094A1300","9022","5000","A","31492","00","18OF336203F","SS","","4230","2861","20161217",".001",".759","758.1","55",".00506","","","0","0","0","12.1","","Kinematic Viscosity @ 30 �C could not be measured  as the sample was boiling at this temperature","-12","","","A.S.T.M. D-86","0","00"
"200D014D094A1300","9022","5000","A","31492","00","18OF336203G","SEP","","4230","2861","20161223",".001",".761","760.7","54.34",".01013","","","0","0","0","12.1","","","-12","","","A.S.T.M. D-86","0","00"
"102163607918W600","9021","5000","A","31521","00","17OF269509E","OTH","","4475.66","2345","20171009",".002",".732","731.7","61.71",".00507","","",".82",".12",".05","12.2","","","-51","","","A.S.T.M. D-86","307.7","00"
"200A073D094H0400","9022","5000","A","31558","00","17OG254786C","SS","","4066.5","2311.93","20170823",".001","","726.1","63.2",".1506","","",".89",".09","0","12.1","","","-75","","","A.S.T.M. D-86","264.6","00"
"200B073D094H0400","9022","5000","A","31559","00","17OG254786A","SS","","4057","2068.1","20170830",".001","","723.7","63.84",".21095","","",".86",".11","0","12.1","","","-63","","","A.S.T.M. D-86","281","00"
"200C063D094H0400","9022","5000","A","31560","00","17OG254786B","SS","","3938","2088.59","20170819",".001","","724.9","63.53",".13668","","",".89",".09","0","12.1","","","-69","","","A.S.T.M. D-86","264","00"
"200D064D094H0400","9022","5000","A","31561","00","17OG254786D","SS","","4315","2327.22","20170821",".001","","732.4","61.53",".20852","","",".86",".12","0","12.1","","","-60","","","A.S.T.M. D-86","274.9","00"
"100131108118W600","9021","5000","A","31582","00","16OF106777D","SEP","","4854.5","2440.1","20160617",".001",".785","784","48.83",".00765","","",".48",".16",".15","12.2","","","-36","","","A.S.T.M. D-86","357.1","00"
"102131108118W600","9021","5000","A","31584","00","16OF106777C","SEP","","4898.78","2484.2","20160617",".001",".759","757.9","55.03",".00693","","",".63",".14",".13","12.2","","","-42","","","A.S.T.M. D-86","357.1","00"
"100130808116W600","9021","5000","A","31603","00","6415-52136-16-15","OTH","","3532","2151","20160622","","","798.2","","","","","0","0","0","","","Total Sulphur (Not Detected) < 0.50 g/kg.","-24","","","","","62"
"100140808116W600","9021","5000","A","31604","00","6415-52136-16-11","OTH","","3497","2368","20160622",".001","","801.3","","","","","0","0","0","","","","-30","","","","","62"
"102140808116W600","9021","5000","A","31605","00","6415-52136-16-7","OTH","","3563","2190","20160622",".001","","796.1","","","","","0","0","0","","","Total Sulphur (Not Detected) < 0.50 g/kg.","-9","","","","","62"
"103140808116W600","9021","5000","A","31606","00","6415-52136-16-3","OTH","","3538","2204","20160622",".001","","800.1","","","","","0","0","0","","","","-24","","","","","62"
"200A079E094H0500","9022","5000","A","31613","00","2470491","SEP","","4360","1939","20191123","",".767","766.4","53.1",".0004","","352",".52",".18","","","","","","","","D86-Modified","","00"
"202A079E094H0502","9022","5000","A","31614","02","2470483","SEP","","4332","1817","20191123","",".769","768.4","52.6",".0003","","355",".5",".17","","","","","","","","D86-Modified","","00"
"202C078E094H0502","9022","5000","A","31615","02","2470479","SEP","","4224","1677","20191123","",".772","771.3","51.9",".0004","","362",".48",".18","","","","","","","","D86-Modified","","00"
"203C078E094H0502","9022","5000","A","31616","02","2470487","SEP","","4192","1629","20191123","",".772","771","52",".0004","","360",".48",".19",".17","","","","","","","D86-Modified","","00"
"200D078E094H0502","9022","5000","A","31617","02","2470475","SEP","","4194","1682","20191123","",".777","776.3","50.7",".0003","","",".45",".2","","","","","","","","D86-Modified","361","00"
"202C024E094H0500","9022","5000","A","31618","00","2501374","SEP","","4628","2026","20200316","",".756","755.4","55.8",".0003","","359",".59",".16","","","","","","","","D86-Modified","","00"
"100081908013W600","9021","5000","A","31640","00","15OF031746B","SEP","","3573","2031.2","20151017",".014",".768","767.5","52.7",".00027","","",".593",".129",".118","12.2","","","-21","","","ASTM D-86","356.7","00"
"100081908013W600","9021","5000","A","31640","00","17F194368","SEP","","3557.8","2031.2","20170309",".001",".734","733.6","61.22",".01614","","",".72",".2","0","12.2","","6% of Distillation Loss was due to low Initial Boiling Point","-51","","","A.S.T.M. D-86","348.4","00"
"100023507715W600","9021","5000","A","31649","00","17OF280548C","OTH","","5855.1","2492.2","20171103",".001",".72","719.3","65.05",".00381","","",".82",".16","0","12.3","","","-48","","","A.S.T.M. D-86","297.2","00"
"205C098D094H0500","9022","5000","A","31659","00","9083-52136-17-15","SEP","","3824","1853","20170325",".003","","734.9","","","","","0","0","0","","","Total Sulphur (Not Detected) < 0.50 g/kg.","-54","","","","","00"
"200A008E094H0500","9022","5000","A","31660","00","9083-52136-17-19","MET","","3784.78","1786.45","20170325",".002","","750.9","","","","","0","0","0","","","","-51","","","","","00"
"200C008E094H0500","9022","5000","A","31661","00","9064-52136-19-3","WHD","","4375.02","1903","20190321",".001","","753","","","","","0","0","0","","","Total Sulphur (Not Detected) < 0.50 g/kg.","-36","","","","","00"
"200D008E094H0500","9022","5000","A","31662","00","9064-52136-19-7","SS","","4525","2053","20190322","","","755.5","","","","","0","0","0","","","Total Sulphur (Not Detected) < 0.50 g/kg.","-36","","","","","00"
"200B054D094H0500","9022","5000","A","31663","00","9064-52136-19-11","SS","","4361","1917","20190322",".002","","749.5","","","","","0","0","0","","","Total Sulphur (Not Detected) < 0.50 g/kg.","-33","","","","","00"
"100133408424W600","9022","5000","A","31683","00","6298-52136-16-3","SEP","","3980","2028","20160428","","","789","","","","","0","0","0","","","Total Sulphur (Not Detected) < 0.50 g/kg.","-24","","","","","00"
"100142408424W602","9022","5000","A","31684","02","6298-52136-16-7","SEP","","4657","2134","20160429","","","757.2","","","","","0","0","0","","","Total Sulphur (Not Detected) < 0.50 g/kg.","-51","","","","","00"
"100013507715W600","9021","5000","A","31687","00","17OF276614C","OTH","","5621.8","2525.6","20171026",".001",".734","733.3","61.29",".06313","","",".81",".12",".05","12.1","","","-54","","","A.S.T.M. D-86","315.5","00"
"100100808513W600","2000","4535","A","31690","00","16R072312","SEP","","2568","1490","20160226",".001",".857","856.4","33.58",".82366","","",".26",".14",".18","11.8","","BS&W performed on oil portion only","-15","","","A.S.T.M. D-86","357.4","02"
"100100808513W600","2000","4535","A","31690","00","19F433877F","SEP","","2568","1490","20190201",".001",".86","859.4","33",".85898","","",".21",".13",".14","11.8","","BS&W performed on oil portion only.","-12","","","A.S.T.M. D-86","356.6","02"
"100071208823W600","9022","5000","A","31698","00","9062-52136-2016-3","PT","","4504.9","2060.4","20160301","0","","807.6","","","","","0","0","0","","","","-33","","","ASTM D-86","","00"
"200C033I094B1600","9022","5000","A","31734","00","2614340","SEP","","4919.5","2100","20210412","",".727","725.9","63.4",".0001","","",".8","","","","","","","","","D86-Modified","304","00"
"202B033I094B1600","9022","5000","A","31735","00","2614336","SEP","","4322.5","2077","20210412","",".707","706.2","68.8","0","","",".79","","","","","","","","","D86-Modified","281","00"
"200B033I094B1600","9022","5000","A","31736","00","2614348","SEP","","3584.5","1962","20210412","",".727","726.6","63.2",".0002","","",".81","","","","","","","","","D86-Modified","293","00"
"202D024I094B1600","9022","5000","A","31737","00","2614344","SEP","","4236.5","2123","20210412","",".708","707","68.6","0","","",".86","","","","","","","","","D86-Modified","271","00"
"200D024I094B1600","9022","5000","A","31738","00","2615117","SEP","","4107.5","1957","20210418","",".722","721.4","64.6",".0002","","",".83","","","","","","","","","D86-Modified","274","00"
"202C024I094B1600","9022","5000","A","31739","00","2615125","SEP","","4681.5","2245","20210418","",".704","703.5","69.6","0","","",".81","","","","","","","","","D86-Modified","283","00"
"200C024I094B1600","9022","5000","A","31740","00","2615121","SEP","","4572.5","2095","20210418","",".728","726.9","63.1",".0002","","",".83","","","","","","","","","D86-Modified","286","00"
"100060708822W600","9022","5000","A","31755","00","9084-52136-2016-3","PT","","4535","2087.6","20160322","0","","794.1","","","","","0","0","0","","","Total Sulphur (Not Detected) < 0.50 g/kg.","-18","","","ASTM D-86","","00"
"200C059D094A1600","7600","4100","","31757","00","B613284-OD8141","MET","","1074.5","1070.5","20160218",".475",".836","834.8","37.84",".0084","","","0","0","","","","","","","23","","315","00"
"200C028I094B1600","9022","5000","A","31765","00","2410489","SEP","","4132.5","2343","20190527","",".717","716.2","66",".0001","","",".83","","","","","","","","","D86-Modified","275","00"
"200C028I094B1600","9022","5000","A","31765","00","2417211","SEP","","4132.5","2343","20190613","",".709","708.8","68.1","0","","",".83","","","","","","","","","D86-Modified","275","00"
"202C028I094B1600","9022","5000","A","31766","00","2410478","SEP","","3967.5","2308.7","20190528","",".743","742.6","59",".0003","","",".73",".17","","","","","","","","D86-Modified","321","00"
"202C028I094B1600","9022","5000","A","31766","00","2417215","SEP","","3967.5","2308.7","20190614","",".728","727.3","63",".0002","","",".77",".13","","","","","","","","D86-Modified","309","00"
"200C029I094B1600","9022","5000","A","31767","00","2410468","SEP","","4318.9","2251.7","20190528","",".738","737","60.5",".0002","","",".78","","","","","","","","","D86-Modified","287","00"
"200C029I094B1600","9022","5000","A","31767","00","2417199","SEP","","4318.9","2251.7","20190614","",".716","714.9","66.4","0","","",".87","","","","","","","","","D86-Modified","262","00"
"202C029I094B1600","9022","5000","A","31768","00","2410934","OTH","","4172.5","2192","20190529","",".748","747","57.9",".0003","","",".7",".19","","","","","","","","D86-Modified","336","00"
"202C029I094B1600","9022","5000","A","31768","00","2417207","SEP","","4172.5","2192","20190613","",".733","732.4","61.7",".0002","","",".78",".14","","","","","","","","D86-Modified","310","00"
"200B040I094B1600","9022","5000","A","31769","00","2411643","SEP","","4920.5","2222","20190530","",".732","731.1","62",".0003","","",".8",".14","","","","","","","","D86-Modified","300","00"
"200B040I094B1600","9022","5000","A","31769","00","2417192","SEP","","4920.5","2222","20190617","",".718","717.3","65.7","0","","",".86","","","","","","","","","D86-Modified","261","00"
"202B040I094B1600","9022","5000","A","31770","00","2417203","SEP","","4799.8","2175.4","20190615","",".729","728.1","62.8",".0001","","",".8",".13","","","","","","","","D86-Modified","298","00"
"200C030I094B1600","9022","5000","A","31771","00","2417187","SEP","","5054.8","2393","20190615","",".712","711.6","67.3","0","","",".87","","","","","","","","","D86-Modified","261","00"
"202C030I094B1600","9022","5000","A","31772","00","2417195","SEP","","4890.5","2201","20190617","",".728","727","63.1",".0002","","",".75",".13","","","","","","","","D86-Modified","301","00"
"202C099H094B0900","9022","5000","A","31778","00","6661-52136-16-3","WHD","","3759","2156.2","20161001","","","725.6","","","","","0","0","0","","","Total Sulphur (Not Detected) < 0.50 g/kg.","-59","","","","","00"
"200C099H094B0900","9022","5000","A","31779","00","6661-52136-16-11","SEP","","4001","2391.97","20161006",".001","","691.4","","","","","0","0","0","","","Total Sulphur (Not Detected) < 0.50 g/kg.","-60","","","","","00"
"202D100H094B0900","9022","5000","A","31780","00","6661-52136-16-15","WHD","","3735.1","2124.49","20161009","","","727.6","","","","","0","0","0","","","Total Sulphur (Not Detected) < 0.50 g/kg.","-57","","","","","00"
"200D100H094B0900","9022","5000","A","31781","00","6661-52136-16-7","WHD","","3983","2280.72","20161001","","","703.6","","","","","0","0","0","","","Total Sulphur (Not Detected) < 0.50 g/kg.","-60","","","","","00"
"100012308114W600","9021","5000","A","31790","00","15OF056089A","SEP","","3557","1980.1","20151224",".002",".823","822.5","40.38",".00099","","",".369",".153",".178","12","","","-15","","","A.S.T.M. D-86","357.1","62"
"100012308114W600","9021","5000","A","31790","00","17F187637","SEP","","3540.7","2043.9","20170215",".001",".809","808.1","43.46",".11257","","",".41",".14",".15","12","","BS&W performed on oil portion only","-33","","","A.S.T.M. D-86","357.7","62"
"100012308114W600","9021","5000","A","31790","00","18F339968","SEP","","3540.7","2043.9","20180516",".001",".785","783.9","48.84",".07184","","",".56",".19","0","12","","","-39","","","A.S.T.M. D-86","357","62"
"100041708220W600","9021","5000","A","31806","00","17O248177A","MET","","4156","1951","20170802",".001",".713","711.9","67.09",".00522","","",".92",".06","0","12.2","","BS&W performed on oil portion only","-90","","","A.S.T.M. D-86","230.6","00"
"100051708220W600","9021","5000","A","31807","00","17O248177D","MET","","4310","1883","20170802",".001",".717","716.2","65.89",".00556","","",".99","0","0","12.2","","","-84","","","A.S.T.M. D-86","234.8","00"
"100121708220W600","9021","5000","A","31808","00","17O248177F","MET","","4498","1869","20170802",".001",".724","723.5","63.91",".00816","","",".91",".07","0","12.2","","","-87","","","A.S.T.M. D-86","257.2","00"
"102130308116W600","9021","5000","A","31828","00","6843-52136-16-3","SEP","","3577.1","2151","20161219","","","788.4","","","","","0","0","0","","","","-18","","","","","00"
"200A054D094H0500","9022","5000","A","31830","00","9064-52136-19-15","SEP","","4283","1838","20190322",".002","","754.5","","","","","0","0","0","","","Total Sulphur (Not Detected) < 0.50 g/kg.","-39","","","","","00"
"202A056H094G0800","9022","5000","A","31834","00","2659-52134-17-15","SEP","","3732.8","1814.4","20171006","","","767.5","","","","","0","0","0","","","Viscosity Graph not available at low values.","-51","","","","","00"
"203A056H094G0800","9022","5000","A","31835","00","2659-52134-17-11","SEP","","3826","1910","20171006","","","767.4","","","","","0","0","0","","","Total Sulphur (Not Detected) < 0.50 g/kg.","-42","","","","","00"
"100131608015W600","9021","5000","A","31862","00","6618-52136-17-15","MET","","4730.5","2364","20170810","","","775","","","","","0","0","0","","","Total Sulphur (Not Detected) < 0.50 g/kg.","-15","","","","","00"
"200A052I094A1300","9022","5000","A","31901","00","17OG261800B","OTH","","4375.57","1979.54","20170917",".001",".764","763.2","53.74",".58714","","",".52",".14",".14","12.2","","","-15","","","A.S.T.M. D-86","356.6","00"
"200A052I094A1300","9022","5000","A","31901","00","19F510838B","MET","","4376","1978","20190823",".001",".755","754.2","55.96",".58151","","",".59",".11",".12","11.3","","BS&W performed on oil portion only.","-51","","","A.S.T.M. D-86","357","00"
"200A052I094A1300","9022","5000","A","31901","00","20OF646226B","MET","","4376","1978","20200829",".001",".738","737.7","60.13",".53869","","",".84",".11","0","11.9","","","-51","","","A.S.T.M. D-86","356.9","00"
"200A052I094A1300","9022","5000","A","31901","00","21OF811531N2","MET","","4376","1978","20211001",".001",".726","725.7","63.3",".53307","","",".93",".05","0","11.9","","","-36","","","A.S.T.M. D-86","238","00"
"200D010L094A1400","9022","5000","A","31902","00","20OF667300B","MET","","3797.64","1843.5","20201021",".001",".748","747.2","57.71",".52823","","",".73",".07",".09","12.1","","","-51","","","A.S.T.M. D-86","356.8","00"
"200D010L094A1400","9022","5000","A","31902","00","21OF811531I","MET","","3797.64","1843.5","20211002",".001",".734","733.5","61.23",".54527","","",".88",".1","0","12","","","-36","","","A.S.T.M. D-86","281.1","00"
"200B092H094A1300","9022","5000","A","31903","00","19F510838F","MET","","3932.1","1858.2","20190825",".001",".753","752.1","56.48",".56271","","",".67",".11",".12","12.2","","","-51","","","A.S.T.M. D-86","357","00"
"200B092H094A1300","9022","5000","A","31903","00","20OF642594B","MET","","3932.07","1858.15","20200812",".001",".769","768.7","52.41",".56937","","",".61",".12",".13","12.1","","","-42","","","A.S.T.M. D-86","357","00"
"200B092H094A1300","9022","5000","A","31903","00","21OF811531D","MET","","3932.07","1858.15","20211001",".001",".752","751.3","56.69",".57152","","",".84",".1",".05","12","","BS&W performed on oil portion only.","-36","","","A.S.T.M. D-86","355.5","00"
"200B059B094H0400","9022","5000","A","31905","00","17OG260015A","OTH","","4510.94","2351.35","20170911",".001",".735","734.8","60.9",".09874","","",".86",".12","0","12.1","","","-63","","","A.S.T.M. D-86","280.7","00"
"200A060B094H0400","9022","5000","A","31906","00","17OG267175B","SS","","4050.72","2027.22","20170926",".001",".731","730.4","62.07",".05677","","",".85",".13","0","12.2","","","-51","","","A.S.T.M. D-86","284.1","00"
"200D050B094H0400","9022","5000","A","31907","00","17OG267175C","SS","","4485","1942.53","20170919",".001",".722","721","64.58",".02989","","",".87",".11","0","12.2","","","-51","","","A.S.T.M. D-86","278.3","00"
"200C093C094H0400","9022","5000","A","31908","00","17OG267175D","SS","","4456.34","2467.82","20170930",".001",".721","720.7","64.65",".1306","","",".9",".08","0","12.1","","","-51","","","A.S.T.M. D-86","261.3","00"
"200A094C094H0400","9022","5000","A","31909","00","17OG267175A","SS","","4165","2044.2","20170926",".001",".728","727.3","62.9",".14638","","",".86",".12","0","12.2","","","-51","","","A.S.T.M. D-86","277","00"
"200C084C094H0400","9022","5000","A","31910","00","17OG260015B","SS","","3992","1884.78","20170908",".001",".731","730.6","62.02",".08533","","",".87",".11","0","12.2","","","-63","","","A.S.T.M. D-86","278","00"
"200B097D094H0400","9022","5000","A","31924","00","16OG154755A","SS","","4263","2138.11","20161027",".001",".713","712.3","66.99",".28631","","",".89",".09","0","12.3","","","-66","","","A.S.T.M. D-86","266.6","00"
"200C088D094H0400","9022","5000","A","31930","00","16OG154755B","SS","","4262","2164.7","20161025",".001",".71","709.7","67.7",".2547","","",".9",".08","0","12.3","","","-72","","","A.S.T.M. D-86","252.7","00"
"102131608015W600","9021","5000","A","31943","00","6618-52136-17-7","MET","","4563.5","2198","20170730","","","717.8","","","","","0","0","0","","","Total Sulphur (Not Detected) < 0.50 g/kg.","-60","","","","","00"
"103131608015W600","9021","5000","A","31944","00","6618-52136-17-11","MET","","4471.5","2105","20170730",".001","","719.9","","","","","0","0","0","","","Total Sulphur (Not Detected) < 0.50 g/kg.","-60","","","","","00"
"100141608015W600","9021","5000","A","31945","00","6618-52136-17-3","MET","","4433.5","2336","20170730",".001","","776.1","","","","","0","0","0","","","Total Sulphur (Not Detected) < 0.50 g/kg.","-18","","","","","00"
"102141608015W600","9021","5000","A","31946","00","6542-52136-17-11","SS","","4276.5","2150","20170718","","","723.4","","","","","0","0","0","","","Total Sulphur (Not Detected) < 0.50 g/kg.","-60","","","","","00"
"103141608015W600","9021","5000","A","31947","00","6542-52136-17-15","SS","","3966","2120","20170718","","","710","","","","","0","0","0","","","Total Sulphur (Not Detected) < 0.50 g/kg.","-60","","","","","00"
"100151608015W600","9021","5000","A","31948","00","6542-52136-17-3","MET","","3826.5","2160","20170718","","","711","","","","","0","0","0","","","Total Sulphur (Not Detected) < 0.50 g/kg.","-60","","","","","00"
"102132608015W600","9021","5000","A","31962","00","B6B3418-QH4981","OTH","","3662.4","2288.2","20161218",".004",".807","806.6","",".0006","","","31.2","17.8","0","","","ONSITE H2S RECORDED AS 5 PPM. Viscosities @ 15","6","","","ASTM D86 D","318.5","00"
"102092008219W600","9021","5000","A","31964","00","18OF303142B","SEP","","4045.4","1957.4","20180116",".001",".77","769","52.35",".01941","","",".5",".16",".15","12.2","","","-21","","","A.S.T.M. D-86","357.6","00"
"100041708014W600","9021","5000","A","31966","00","6287-52136-17-3","SS","","3713.5","2068","20170402","","","732.1","","","","","0","0","0","","","Total Sulphur (Not Detected) < 0.50 g/kg.","-60","","","","","00"
"200A035C094H0400","9022","5000","A","31968","00","17OG218307C","SS","","4573","1927.23","20170520",".001",".723","722.6","64.15",".05175","","",".82",".11",".05","12.2","","","-95","","","A.S.T.M. D-86","295","00"
"200B035C094H0400","9022","5000","A","31969","00","17OG218307D","SS","","4604","2013.59","20170520",".001",".726","725.8","63.29",".17074","","",".85",".13","0","12.2","","","-81","","","A.S.T.M. D-86","284.8","00"
"200C025C094H0400","9022","5000","A","31970","00","17OG218307B","SS","","4475","2688.53","20170519",".001",".728","727","62.97",".1531","","",".86",".09",".03","12.2","","BS&W performed on oil portion only","-93","","","A.S.T.M. D-86","289.4","00"
"200A100J094A1300","9022","5000","A","31971","00","17OG218307A","SS","","4091","1951.75","20170517",".001",".731","730.4","62.06",".00773","","",".84",".14","0","12.2","","BS&W performed on oil portion only","-75","","","A.S.T.M. D-86","291.5","00"
"202A100J094A1300","9022","5000","A","31974","00","18OG337221A","SS","","4353","2080","20180501",".001",".764","763.8","53.6",".01662","","",".5",".16",".09","12.2","","","-15","","","A.S.T.M. D-86","356.7","00"
"100051708014W600","9021","5000","A","31978","00","6255-52136-17-3","OTH","","4556.5","2010","20170328","","","738.7","","","","","0","0","0","","","Pour Point Detection Limit = -60°C.","-60","","","","","00"
"100130808014W600","9021","5000","A","31979","00","6255-52136-17-7","OTH","","3384.5","2098","20170328","","","736.8","","","","","0","0","0","","","Pour Point Detection Limit = -60°C.","-60","","","","","00"
"100160708014W600","9021","5000","A","31980","00","6252-52136-17-3","SEP","","3748.5","2103","20170325","","","726.3","","","","","0","0","0","","","Pour Point Detection Limit = -60°C.","-60","","","","","00"
"100113307914W600","9021","5000","A","31981","00","6252-52136-17-7","SEP","","4783.5","2057","20170326",".001","","714.7","","","","","0","0","0","","","Pour Point Detection Limit = -60°C.","-60","","","","","00"
